,city,lat,lng,country,iso2,admin_name,capital,population,population_proper,details
0,Delhi,28.61,77.23,India,IN,Delhi,admin,32226000,16753235,"['Pandara Park', ' Chanakya Puri Tehsil', ' New Delhi District', ' Delhi', ' 110503', ' India']"
1,Mumbai,19.0761,72.8775,India,IN,Mahārāshtra,admin,24973000,12478447,"['Santa Cruz – Chembur Link Road', ' Kismat Nagar', ' L Ward', ' Zone 5', ' Mumbai', ' Mumbai Suburban', ' Maharashtra', ' 400070', ' India']"
2,Kolkāta,22.5675,88.37,India,IN,West Bengal,admin,18502000,4496694,"['AJC Bose Road (Sealdah Flyover)', ' Sealdah', ' Kolkata', ' Kolkata District', ' West Bengal', ' 700009', ' India']"
3,Bangalore,12.9789,77.5917,India,IN,Karnātaka,admin,15386000,8443675,"['Doctor B R Ambedkar Veedhi', ' Sampangiram Nagar Ward', ' East Zone', ' Bengaluru', ' Bangalore North', ' Bengaluru Urban District', ' Karnataka', ' 560001', ' India']"
4,Chennai,13.0825,80.275,India,IN,Tamil Nādu,admin,12395000,6727000,"['Indian Bank', ' General Hospital Road', ' Evening Bazaar', ' CMWSSB Division 59', ' Zone 5 Royapuram', ' Chennai', ' Chennai District', ' Tamil Nadu', ' 600001', ' India']"
5,Hyderābād,17.385,78.4867,India,IN,Telangāna,admin,10494000,6993262,"['Womens College to Esamia Bazar Road', ' Esamia Bazaar', ' Ward 78 Gunfoundry', ' Greater Hyderabad Municipal Corporation Central Zone', ' Hyderabad', ' Nampally mandal', ' Hyderabad District', ' Telangana', ' 500095', ' India']"
6,Pune,18.5203,73.8567,India,IN,Mahārāshtra,,8231000,3124458,"['Kasba Peth', ' Pune City', ' Pune', ' Maharashtra', ' 411002', ' India']"
7,Ahmedabad,23.03,72.58,India,IN,Gujarāt,minor,8009000,5570585,"['Manek Chowk', ' Ahmedabad', ' Ahmedabad District', ' Gujarat', ' 380001', ' India']"
8,Sūrat,21.1702,72.8311,India,IN,Gujarāt,,6538000,4466826,"['Udhana', ' Udhna Taluka', ' Surat District', ' Gujarat', ' 395002', ' India']"
9,Prayagraj,25.4358,81.8464,India,IN,Uttar Pradesh,,5954391,5954391,"['New Bairahana', ' Prayagraj', ' Prayagraj District', ' Uttar Pradesh', ' 211001', ' India']"
10,Lucknow,26.85,80.95,India,IN,Uttar Pradesh,admin,3382000,3382000,"['Hazratganj', ' Lucknow', ' Lucknow District', ' Uttar Pradesh', ' 226027', ' India']"
11,Jaipur,26.9,75.8,India,IN,Rājasthān,admin,3073350,3073350,"['Bhagwandas Road', ' Kachi Basti', ' Bais Godam', ' Jaipur', ' Jaipur Municipal Corporation', ' Jaipur Tehsil', ' Jaipur District', ' Rajasthan', ' 302001', ' India']"
12,Cawnpore,26.4499,80.3319,India,IN,Uttar Pradesh,,2701324,2701324,"['NH34', ' Kidwai Nagar', ' Kanpur', ' Kanpur Nagar District', ' Uttar Pradesh', ' 208003', ' India']"
13,Mirzāpur,25.146,82.569,India,IN,Uttar Pradesh,,2496970,2496970,"['Mukeri Bazar', ' Mirzapur', ' Mirzapur District', ' Uttar Pradesh', ' 231209', ' India']"
14,Nāgpur,21.1497,79.0806,India,IN,Mahārāshtra,admin,2405665,2405665,"['Nagpur Urban Taluka', ' Nagpur', ' Maharashtra', ' 440001', ' India']"
15,Ghāziābād,28.67,77.42,India,IN,Uttar Pradesh,,2375820,2375820,"['Ghaziabad', ' Ghaziabad District', ' Uttar Pradesh', ' 201001', ' India']"
16,Vadodara,22.3,73.2,India,IN,Gujarāt,,2065771,2065771,"['Dandia Bazaar Road', ' Nava Bazaar', ' Vadodara', ' Vadodara Rural Taluka', ' Vadodara District', ' Gujarat', ' 390001', ' India']"
17,Vishākhapatnam,17.7042,83.2978,India,IN,Andhra Pradesh,,2035922,2035922,"['Jalari Peta', ' MTC Palem', ' Visakhapatnam', ' Visakhapatnam (Urban)', ' Visakhapatnam', ' Andhra Pradesh', ' 530001', ' India']"
18,Indore,22.7167,75.8472,India,IN,Madhya Pradesh,,1994397,1994397,"['Sulabh Complex', ' 47', '', ' Naliya Bakhal road', ' Martand Chowk', ' Indore City', ' Indore', ' Juni Indore Tahsil', ' Indore District', ' Madhya Pradesh', ' 452001', ' India']"
19,Thāne,19.1972,72.9722,India,IN,Mahārāshtra,,1886941,1886941,"['Daji Ramchandra Rd', ' Charai', ' Uthalsar', ' Thane', ' Maharashtra', ' 400602', ' India']"
20,Bhopāl,23.25,77.4167,India,IN,Madhya Pradesh,admin,1798218,1798218,"['Nandan Hospital', ' MD3110', ' Ibrahimpura', ' Bhopal', ' Huzur Tahsil', ' Bhopal District', ' Madhya Pradesh', ' 462008', ' India']"
21,Chinchvad,18.6186,73.8037,India,IN,Mahārāshtra,,1729320,1729320,"['Pimpri', ' Pimpri-Chinchwad', ' Haveli', ' Pune', ' Maharashtra', ' 411034', ' India']"
22,Patna,25.6,85.1,India,IN,Bihār,admin,1684222,1684222,"['Sanjay Gandhi Jaivik Udyan', ' Bailey Road', ' Patna', ' Patna Rural', ' Patna District', ' Bihar', ' 800001', ' India']"
23,Bilāspur,22.09,82.15,India,IN,Chhattīsgarh,,1625502,1625502,"['RIVER VIEW ROAD', ' Bilaspur', ' Bilaspur Tahsil', ' Bilaspur District', ' Chhattisgarh', ' 495004', ' India']"
24,Ludhiāna,30.91,75.85,India,IN,Punjab,,1618879,1618879,"['Ludhiana', ' Ludhiana (West) Tahsil', ' Ludhiana District', ' Punjab', ' 141008', ' India']"
25,Agwār,27.18,78.02,India,IN,Uttar Pradesh,,1585705,1585705,"['Agra Fort', ' SH62', ' Agra', ' Agra District', ' Uttar Pradesh', ' 282004', ' India']"
26,Āgra,27.18,78.02,India,IN,Uttar Pradesh,,1585704,1585704,"['Agra Fort', ' SH62', ' Agra', ' Agra District', ' Uttar Pradesh', ' 282004', ' India']"
27,Madurai,9.9252,78.1198,India,IN,Tamil Nādu,minor,1561129,1561129,"['Madurai', ' Madurai South', ' Madurai District', ' Tamil Nadu', ' 625002', ' India']"
28,Jamshedpur,22.7925,86.1842,India,IN,Jhārkhand,,1558000,1558000,"['Jamshedpur', ' Golmuri-Cum-Jugsalai', ' East Singhbhum District', ' Jharkhand', ' 831001', ' India']"
29,Nāsik,20.0,73.78,India,IN,Mahārāshtra,,1486053,1486053,"['Nashik', ' Maharashtra', ' 422013', ' India']"
30,Farīdābād,28.4167,77.3,India,IN,Haryāna,,1404653,1404653,"['Ryan International School', ' Vishnu Kanwar Marg', ' Sector 21B', ' Faridabad', ' Faridabad District', ' Haryana', ' 121001', ' India']"
31,Aurangābād,19.88,75.32,India,IN,Mahārāshtra,,1371330,1371330,"['Osmanpura', ' Aurangabad', ' Chhatrapati Sambhajinagar', ' Maharashtra', ' 431002', ' India']"
32,Rājkot,22.3,70.7833,India,IN,Gujarāt,,1335397,1335397,"['Rajkot', ' Rajkot East Taluka', ' Rajkot District', ' Gujarat', ' 360001', ' India']"
33,Meerut,28.98,77.71,India,IN,Uttar Pradesh,,1305429,1305429,"['Meerut', ' Meerut District', ' Uttar Pradesh', ' 250003', ' India']"
34,Jabalpur,23.1667,79.9333,India,IN,Madhya Pradesh,,1267564,1267564,"['Jabalpur', ' Ranjhi Tahsil', ' Jabalpur District', ' Madhya Pradesh', ' 482001', ' India']"
35,Kalamboli,19.2333,73.1333,India,IN,Mahārāshtra,,1246381,1246381,"['Kalyan', ' Kalyan-Dombivli', ' Kalyan', ' Thane', ' Maharashtra', ' 421306', ' India']"
