EVENT_DESCRIPTION,Category,SubCategory,EventName,Area,SourceAgency,AssociatedOrg
"There have been recent instances wherein unidentified missed calls originating from +92 numbers (Pakistan Numbers) were received by Aram malik Person. Anonymous person  regully briefed as well as sensitized not to entertain such calls. However, the details of one such call received from +92 number is as below .Time  Date Receiving Place  Mobile No. Unidentified No 1319 h As on Jun 28, 2099  Andheri (WEST)  Mumbai +918879000000  ,+923067100000",INTELLIGENCE,Smuggling,DDDDDD,Jammu & Kashmir,SATP,ISIS
"Today (Jul 01, 2099) at 1735 hrs one Muslim youth (27/28 yrs), sporting a black jacket, Height 5.6 approximately, appering to be of J&K origin by facial built and mannerisms was spotted roaming in a Muslim locality, namely Nakhasa Bazar, near Maszid Hijaratia, PS Kotwali City, Sahanpur. He was carrying a Black colored Shoulder Bag and wearing a white coloured Pathani Suit (Muslim Kurta/Payjama) and a Skull cap. He was found talking on his mobile to some unknown person using a mix of English, Urdu, Kashmir, and Punjabi languages. He spoke in Urdu language but with a Punjabi tone and slang. During the conversation he was heard informing the other end that he would now discontinue talking on the Mobile number in use and would again talk to him in about 30 minutes but using a new Mobile number. The said unknown Muslim youth who seemed to be suspicious was noticed loitering and talking on mobile in the area for about half an hour in the said locality. When the local Muslims of the area noted him they grew suspicious and confronted him and asked him about his identity, reason for his presence in the area. He took a flimsy plea and swiftly escaped from the area. Though the residents of the area tried to locate him but could not trace.  This incident seems to be sensitive in the backdrop of the recent india News regarding movement of terrorist/suspected elements Unito India from across the border. (Grading: A)",THREAT,Smuggling,SSSSSSSS,ROI,CAW,ISIS
"At about 1815 hrs, on Jul 02, 2099, Commissioner of LEA, Aurangabad telephonically informed that a message in connection with a probability of blast in railway station and airport has been received and requested to sensitize all personnel. After receiving the telephonic information, all the duty personnel have been alerted and a thorough combing operation has been carried out along with the dog squad. The visitor's entry has already been banned in connection with the Istanbul attack. All preventive measures have been adopted to preclude any possibility of Uniterference to this airport. Any further progress in this acction will be Unitimated. In the wake of high alert situation, extra manpower, has been deployed in the city side. General situation in respect of Chhatrapati Aurangabad airport remains normal. Action Taken: A combing operation & anti-sabotage check of entire Aurangabad airport has been caried out and nothing suspicious found. However, adequate security arrangements have been made to avoid any unwanted  incident.",THREAT,Logistics / Adm / Fundings,SSSSSSSS,ROI,CAW,ISIS
"The following activity of Thuraya terminal was observed Jammu India Border between 1024 & 1225 hrs on Jun 29, a Thuraya terminal (08?31\'34""N, 76?26\'05""E) in Crabian Sea, about 42 kms SW of Quilon Port, Kerala Border",THREAT,Smuggling,SSSSSSSS,Jammu & Kashmir,SATP,ISIS
"A Thuraya entity (IMEI No : not available) was found active at 30?49\'32""N, 80?16\'29""E about 85.8 Kms NE of Joshimath on Jun 29, 2099 at 1745 hrs (Gps Age : NA) Entity contacted telephone number 008618908900000",THREAT,Logistics / Adm / Fundings,DDDDDD,Jammu & Kashmir,SATP,JeM
"A Thuraya entity (IMEI No: not available) was found active at 18?29\'08""N, 72?29\'18""E about 57 Kms NW of Murud and 46.7 Kms SW of Alibag, Maharashtra on Jun 29, 2099 at 1838 hrs .",THREAT,Smuggling,SSSSSSSS,ROI,SATP,ISIS
"A Thuraya entity (IMEI No : not available) was found active at 18?29\'08""N, 72?29\'18""E and 18?19\'48""N, 72?27\'23""E about 61.5 Kms SW of Mumbai, Maharashtra and 42 Kms Inside CRabian sea/80 Kms SW of Mumbai, Maharashtra/ 48 Kms Inside Arabian sea on Jun 29, 2099 at 1854 and 1941 hrs (GPS Age : NA) (Location update).",THREAT,Smuggling,SSSSSSSS,ROI,CAW,ISIS
"A Thuraya entity (IMEI No : Not available ) was found active at 17?38\'20""N, 72?24\'25""E about 79.1 Kms SW of Dapoli and 88.9 Kms NW of Guhagar, Maharashtra on 30 Jun 16 at 0031 hrs (GPS Age: 0 min) (Location update)",INTELLIGENCE,Smuggling,DDDDDD,Jammu & Kashmir,SATP,JeM
" A Thuraya entity (IMEI No: not available) was found active at 17?43\'50""N, 71?14\'55""E about 217.3 Kms NW of Guhagar and 206.2 Kms SW of Dapoli, Maharashtra on Jun 30, 16 at 0330 hrs (Gps Age: 0 mins) (location update)",INTELLIGENCE,Logistics / Adm / Fundings,SSSSSSSS,Jammu & Kashmir,CAW,JeM
"The following activity of Thuraya terminal was observed near India Border  Between 2352 hrs Jun 29 & 0801 hrs on Jun 30, a Thuraya terminal (18?29\'08""N, 72?29\'18""E) in arabian Sea, about 46 Kms SW of Ali Bag Port, Maharashtra Border",INTELLIGENCE,Logistics / Adm / Fundings,DDDDDD,ROI,CAW,JeM
